 ,,year,all_authors,first_auth,title,doi,journal,structural_diversity_plant,lifestage_ne,ne_order,ne_family,ne_genus,ne_species,functional_group_ne,crop_type,crop_family,crop_genus,crop_species,crop_phenology,crop_yield,crop_location_country,crop_location_state,annual_perennial,HIPV_name_blend,HIPV_name,HIPV_class,HIPV biopathway,deployment_method_simplified,deployment_method,trap_type,HIPV_MOA,HIPV_dose,Integrated_Approach,single_blend,no_applications,yrs_data,Category,Response Variable,control_mean,control_se,control_sd,control_reps,control individuals per replicate,control total individuals,HIPV_mean,HIPV_se,HIPV_sd,HIPV_reps,HIPV individuals per replicate,HIPV total individuals,Collector,observation ,study_id,reviewer,reviwer
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Diptera,Syrphidae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,0.5,0.2,,3,,,0.7,0.3,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Diptera,Syrphidae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,0.5,0.2,,3,,,0.4,0.2,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,1.7,0.4,,3,,,2.8,0.7,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,1.7,0.4,,3,,,2.6,0.7,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,1.7,0.4,,3,,,2.8,0.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,Lygus,hesperus,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,1.7,0.5,,3,,,1.4,0.5,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,Lygus,hesperus,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,1.7,0.5,,3,,,1.3,0.3,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,Lygus,hesperus,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,1.7,0.5,,3,,,2.5,0.8,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Thysanoptera,Phlaeothripidae,Leptothrips,mali,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,8.1,2.1,,3,,,5,1.5,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Thysanoptera,Phlaeothripidae,Leptothrips,mali,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,8.1,2.1,,3,,,7.5,2.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Thysanoptera,Phlaeothripidae,Leptothrips,mali,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,8.1,2.1,,3,,,4.7,1,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Hymenoptera,Mymaridae,Anagrus,NA,Parasitoid,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,3.1,1.5,,3,,,2,1.3,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Hymenoptera,Mymaridae,Anagrus,NA,Parasitoid,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,3.1,1.5,,3,,,5.2,2.9,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Hymenoptera,Mymaridae,Anagrus,NA,Parasitoid,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,3.1,1.5,,3,,,2.8,1.3,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,4.2,1.4,,3,,,6,1.7,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,4.2,1.4,,3,,,5.2,1.4,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Hemiptera,Miridae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,4.1,1.4,,3,,,6,1.9,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Coleoptera,Coccinellidae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,1,0.2,,3,,,1.1,0.2,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Coleoptera,Coccinellidae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,1,0.2,,3,,,0.7,0.2,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,NA,Coleoptera,Coccinellidae,NA,NA,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,1,0.2,,3,,,0.5,0.1,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Hymenoptera,NA,NA,NA,Parasitoid,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (99%),No,Single,14,1,,Mean of insects,8.2,0.9,,3,,,8.6,1.6,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Hymenoptera,NA,NA,NA,Parasitoid,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (98%),No,Single,14,1,,Mean of insects,8.2,0.9,,3,,,9,0.8,,3,,,,,1,Yahel,Yahel
1,,2003,"James, DG","James, DG",Synthetic herbivore-induced plant volatiles as field attractants for beneficial insects,10.1603/0046-225X-32.5.977,ENVIRONMENTAL ENTOMOLOGY,Simple,Adult,Hymenoptera,NA,NA,NA,Parasitoid,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,1 ml (10 mg HIPV/2ml hexane),No,Single,28,1,,Mean of insects,8.2,0.9,,3,,,9.7,0.8,,3,,,,,1,Yahel,Yahel
2,Yahel ,2003,"James, DG","James, DG","Field evaluation of herbivore-induced plant volatiles as attractants for beneficial insects: Methyl salicylate and the green lacewing, Chrysopa nigricornis",10.1023/A:1024270713493,JOURNAL OF CHEMICAL ECOLOGY,Simple,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Flower,Cannabaceae,Humulus,lupulus,full bloom-preharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Universal moth trap (Unitrap),Attractant,2 ml (99%),No,Single,3,1,,Mean of insects,0.03,0.03,,3,,,1.9,0.5,,3,,,,,2,Yahel,Yahel
2,,2003,"James, DG","James, DG","Field evaluation of herbivore-induced plant volatiles as attractants for beneficial insects: Methyl salicylate and the green lacewing, Chrysopa nigricornis",10.1023/A:1024270713493,JOURNAL OF CHEMICAL ECOLOGY,Simple,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Flower,Cannabaceae,Humulus,lupulus,preharvest,NA,USA,Washington,Perennial,,Methyl eugenol,dimethoxybenzenes,Shikimate pathway,vial,Liquid,Universal moth trap (Unitrap),Neutral,2 ml (98%),No,Single,1,1,,Mean of insects,0.03,0.03,,3,,,0.2,0.2,,3,,,,,2,Yahel,Yahel
2,,2003,"James, DG","James, DG","Field evaluation of herbivore-induced plant volatiles as attractants for beneficial insects: Methyl salicylate and the green lacewing, Chrysopa nigricornis",10.1023/A:1024270713493,JOURNAL OF CHEMICAL ECOLOGY,Simple,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,vial,Liquid,Yellow sticky card,Attractant,2 ml (99%),No,Single,11,1,,Mean of insects,0.45,0.15,,3,,,2.8,0.4,,3,,,,,2,Yahel,Yahel
2,,2003,"James, DG","James, DG","Field evaluation of herbivore-induced plant volatiles as attractants for beneficial insects: Methyl salicylate and the green lacewing, Chrysopa nigricornis",10.1023/A:1024270713493,JOURNAL OF CHEMICAL ECOLOGY,Simple,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom-postharvest,NA,USA,Washington,Perennial,,(Z)-3-hexenyl acetate,GLV,Lox pathway,vial,Liquid,Yellow sticky card,Neutral,2 ml (98%),No,Single,11,1,,Mean of insects,0.45,0.15,,3,,,0.44,0.15,,3,,,,,2,Yahel,Yahel
2,,2003,"James, DG","James, DG","Field evaluation of herbivore-induced plant volatiles as attractants for beneficial insects: Methyl salicylate and the green lacewing, Chrysopa nigricornis",10.1023/A:1024270713493,JOURNAL OF CHEMICAL ECOLOGY,Simple,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Flower,Cannabaceae,Humulus,lupulus,prebloom,NA,USA,Washington,Perennial,,"3,7-dimethyl-1,3,6-octatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,2 ml (8 mg HIPV/2ml hexane),No,Single,9,1,,Mean of insects,0.45,0.15,,3,,,0.3,0.1,,3,,,,--> together with dimethyl octatriene which replaced nonatriene,2,Yahel,Yahel
2,,2003,"James, DG","James, DG","Field evaluation of herbivore-induced plant volatiles as attractants for beneficial insects: Methyl salicylate and the green lacewing, Chrysopa nigricornis",10.1023/A:1024270713493,JOURNAL OF CHEMICAL ECOLOGY,Simple,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Flower,Cannabaceae,Humulus,lupulus,bloom-postharvest,NA,USA,Washington,Perennial,,"(E)-4,8-dimethyl-1,3,7-nonatriene",Monoterpenoid,MEP pathway,vial,Liquid,Yellow sticky card,Neutral,2 ml (10 mg HIPV/2ml hexane),No,Single,12,1,,Mean of insects,0.45,0.15,,3,,,0.3,0.1,,3,,,,--> together with dimethyl nonatriene which was replaced by octatriene,2,Yahel,Yahel
3,Yahel ,2004,DG James and TS Price,"James, DG",Field-Testing of Methyl Salicylate for Recruitment and Retention of Beneficial Insects in Grapes and Hops,10.1023/B:JOEC.0000042072.18151.6f,JOURNAL OF CHEMICAL ECOLOGY,Complex,Adult,Neuroptera,Chrysopidae,Chrysopa,nigricornis,Predator,Fruit,Vitaceae,Vitis,vinifera var. Concord,prebloom-harvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,sachet,Controlled release dispenser sachet,Yellow sticky card,Attractant,"5g 98% HIPV, 60 mg/day",No,Single,1,1,,Mean of insects,0.17,0.04,,3,,,0.38,0.08,,3,,,,,3,Yahel,Yahel
3,,2004,DG James and TS Price,"James, DG",Field-Testing of Methyl Salicylate for Recruitment and Retention of Beneficial Insects in Grapes and Hops,10.1023/B:JOEC.0000042072.18151.6f,JOURNAL OF CHEMICAL ECOLOGY,Complex,Adult,Neuroptera,Hemerobiidae,Hemerobius,NA,Predator,Fruit,Vitaceae,Vitis,vinifera var. Concord,prebloom-harvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,sachet,Controlled release dispenser sachet,Yellow sticky card,Attractant,"5g 98% HIPV, 60 mg/day",No,Single,1,1,,Mean of insects,0.16,0.009,,3,,,0.23,0.06,,3,,,,,3,Yahel,Yahel
3,,2004,DG James and TS Price,"James, DG",Field-Testing of Methyl Salicylate for Recruitment and Retention of Beneficial Insects in Grapes and Hops,10.1023/B:JOEC.0000042072.18151.6f,JOURNAL OF CHEMICAL ECOLOGY,Complex,NA,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Fruit,Vitaceae,Vitis,vinifera var. Concord,prebloom-harvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,sachet,Controlled release dispenser sachet,Yellow sticky card,Neutral,"5g 98% HIPV, 60 mg/day",No,Single,1,1,,Mean of insects,0.11,0.02,,3,,,0.34,0.1,,3,,,,,3,Yahel,Yahel
3,,2004,DG James and TS Price,"James, DG",Field-Testing of Methyl Salicylate for Recruitment and Retention of Beneficial Insects in Grapes and Hops,10.1023/B:JOEC.0000042072.18151.6f,JOURNAL OF CHEMICAL ECOLOGY,Complex,NA,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Fruit,Vitaceae,Vitis,vinifera var. Concord,prebloom-harvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,sachet,Controlled release dispenser sachet,Yellow sticky card,Attractant,"5g 98% HIPV, 60 mg/day",No,Single,1,1,,Mean of insects,0.11,0.03,,3,,,0.43,0.08,,3,,,,,3,Yahel,Yahel
3,,2004,DG James and TS Price,"James, DG",Field-Testing of Methyl Salicylate for Recruitment and Retention of Beneficial Insects in Grapes and Hops,10.1023/B:JOEC.0000042072.18151.6f,JOURNAL OF CHEMICAL ECOLOGY,Complex,NA,Coleoptera,Coccinellidae,Stethorus,punctum picipes,Predator,Fruit,Vitaceae,Vitis,vinifera var. Concord,prebloom-harvest,NA,USA,Washington,Perennial,,Methyl salicylate,Benzenoid,Shikimate pathway,sachet,Controlled release dispenser sachet,Yellow sticky card,Neutral,"5g 98% HIPV, 60 mg/day",No,Single,1,1,,Mean of insects,0.1,0.03,,3,,,0.22,0.13,,3,,,,,3,Yahel,Yahel
