Study_ID,Title,DOI,Journal,Year,Study_env,Vec_order,Vec_family,Vec_genus,Vec_species,Vec_trait,Other_trait,Vec_stage,Pred_phylum,Pred_class,Pred_order,Pred_family,Pred_genus,Pred_species,Pred_starved,Time_starved_min,Pred_effect,Units,Con_mean,Con_sd,Con_n,Pred_mean,Pred_sd,Pred_n,Graph_text,Sex,Std_pred_level,Std_exp_time_days,Larval_instar,Num_pred,Num_prey,Arena_vol,Time_eating_days,Temp,Cue_type,Experimental_ID,Mixed_prey,Pesticide
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.58,0.1,5,3.55,0.05,5,GRAPH,FEMALE,CUE,NA,NA,CUE,8,20,NA,20,PRED,B,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.18,0.17,5,3.21,0.06,5,GRAPH,MALE,CUE,NA,NA,CUE,8,20,NA,20,PRED,A,NO,NO
68,Predation risk perception and food scarcity induce alterations of life-cycle traits of the mosquito Culex pipens,10.1111/j.1365-2311.2007.00889.x,Ecological Entomology,2007,LAB,Diptera,Culicidae,Culex,pipiens,SIZE,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,glauca,NO,0,NONCONSUMPTIVE,"wing length (mm), group means",3.04,0.07,5,3.17,0.16,5,GRAPH,MALE,CUE,NA,NA,CUE,8,20,NA,20,PRED,B,NO,NO
87,Chemical detection of the predator Notonecta irrorata by ovipositing Culex mosquitoes,NA,Journal of Vector Ecology,2005,SEMIFIELD,Diptera,Culicidae,Culex,NA,BEHAVIOR: oviposition,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,irrorata,YES,4320,NONCONSUMPTIVE,# of egg rafts,1.5,1.33,4,2.75,3.78,4,GRAPH,NA,CUE,6,NA,CUE,NA,24000,NA,NA,PRED,A,NO,NO
87,Chemical detection of the predator Notonecta irrorata by ovipositing Culex mosquitoes,NA,Journal of Vector Ecology,2005,SEMIFIELD,Diptera,Culicidae,Culex,NA,BEHAVIOR: oviposition,NA,ADULT,Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta,irrorata,YES,4320,NONCONSUMPTIVE,# of egg rafts,5.99,3.95,4,1.5,1,4,GRAPH,NA,NA,2,NA,2,NA,24000,NA,NA,PRED,A,NO,NO
89,Priority Effects in Temporary Pools: Nature and Outcome of Mosquito Larva-Toad Tadpole Interactions Depend on Order of Entrance,10.2307/5701,Journal of Animal Ecology,1996,SEMIFIELD,Diptera,Culicidae,Culiseta,longiareolata,SURVIVAL,NA,LARVA,Chordata,Amphibia,Anura,Bufonidae,Bufo,viridis,NO,0,CONSUMPTIVE,survival (%),95.53,8.56,5,74.44,5.72,5,GRAPH,NA,10,25,BOTH,5,50,2000,4,NA,NA,A,NO,NO
89,Priority Effects in Temporary Pools: Nature and Outcome of Mosquito Larva-Toad Tadpole Interactions Depend on Order of Entrance,10.2307/5701,Journal of Animal Ecology,1996,SEMIFIELD,Diptera,Culicidae,Culiseta,longiareolata,SURVIVAL,NA,LARVA,Chordata,Amphibia,Anura,Bufonidae,Bufo,viridis,NO,0,CONSUMPTIVE,survival (%),93.77,7.13,5,31.31,12.14,5,GRAPH,NA,10,25,BOTH,10,100,2000,4,NA,NA,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",8.28,0.29,4,10.36,0.76,4,GRAPH,NA,100,NA,BOTH,1,100,8600,NA,NA,PREDDC,A,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",7.97,0.62,4,9.77,0.43,4,GRAPH,NA,100,NA,BOTH,1,100,8600,NA,NA,PREDDC,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",8.48,0.78,4,10.01,0.68,4,GRAPH,NA,100,NA,BOTH,1,100,8600,NA,NA,PREDDC,C,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",8.28,0.29,4,10.5,1.02,4,GRAPH,NA,50,NA,BOTH,2,100,8600,NA,NA,PREDDC,A,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",7.97,0.62,4,10.66,0.91,4,GRAPH,NA,50,NA,BOTH,2,100,8600,NA,NA,PREDDC,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",8.48,0.78,4,10.44,1.19,4,GRAPH,NA,50,NA,BOTH,2,100,8600,NA,NA,PREDDC,C,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",8.28,0.29,4,11.5,0.54,4,GRAPH,NA,25,NA,BOTH,4,100,8600,NA,NA,PREDDC,A,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",7.97,0.62,4,12.43,0.45,4,GRAPH,NA,25,NA,BOTH,4,100,8600,NA,NA,PREDDC,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,DEVELOPMENT,NA,LARVA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"days first instar to pupation, group means",8.48,0.78,4,12.38,0.86,4,GRAPH,NA,25,NA,BOTH,4,100,8600,NA,NA,PREDDC,C,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",59.38,0.99,4,43.25,0.67,4,GRAPH,FEMALE,100,NA,NA,1,100,8600,NA,NA,PREDDC,A,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",61.14,0.9,4,53.86,1.03,4,GRAPH,FEMALE,100,NA,NA,1,100,8600,NA,NA,PREDDC,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",61.09,0.81,4,47.88,1.08,4,GRAPH,FEMALE,100,NA,NA,1,100,8600,NA,NA,PREDDC,C,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",59.38,0.99,4,42.54,0.54,4,GRAPH,FEMALE,50,NA,NA,2,100,8600,NA,NA,PREDDC,A,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",61.14,0.9,4,46.13,0.72,4,GRAPH,FEMALE,50,NA,NA,2,100,8600,NA,NA,PREDDC,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",61.09,0.81,4,44.33,1.03,4,GRAPH,FEMALE,50,NA,NA,2,100,8600,NA,NA,PREDDC,C,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",59.38,0.99,4,45.19,0.99,4,GRAPH,FEMALE,25,NA,NA,4,100,8600,NA,NA,PREDDC,A,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",61.14,0.9,4,42.8,0.81,4,GRAPH,FEMALE,25,NA,NA,4,100,8600,NA,NA,PREDDC,B,NO,NO
96,Oviposition habitat selection for a predator refuge and food source in a mosquito,10.1111/j.0307-6946.2005.00704.x,Ecological Entomology,2005,SEMIFIELD,Diptera,Culicidae,Anopheles,pseudopunctipennis,SIZE,NA,ADULT,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,YES,1440,NONCONSUMPTIVE,"wing length (mm^3), group means",61.09,0.81,4,38.54,0.85,4,GRAPH,FEMALE,25,NA,NA,4,100,8600,NA,NA,PREDDC,C,NO,NO
100,Tadpoles as dengue mosquito (Aedes aegypti) egg predators,10.1016/j.biocontrol.2013.10.005,Biological Control,2013,LAB,Diptera,Culicidae,Aedes,aegypti,SURVIVAL,NA,EGG,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,cruciger,NO,0,CONSUMPTIVE,# alive/64,47.3,18.6,4,6,4.08,4,TEXT,NA,16,4,NA,4,64,4750,23,NA,NA,A,NO,NO
100,Tadpoles as dengue mosquito (Aedes aegypti) egg predators,10.1016/j.biocontrol.2013.10.005,Biological Control,2013,LAB,Diptera,Culicidae,Aedes,aegypti,BEHAVIOR: oviposition,NA,ADULT,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,cruciger,NO,0,NONCONSUMPTIVE,number of eggs,63.2,36.9,4,163,89.3,4,TEXT,NA,NA,3,NA,CUE,NA,175,NA,NA,PRED,B,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,robustus,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.77,0.39,9,6.25,2.16,9,GRAPH,NA,10,1,EARLY,1,10,30,1,16,NA,A,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,robustus,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.76,0.36,9,6.21,2.04,9,GRAPH,NA,10,1,EARLY,1,10,30,1,26,NA,B,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,neumani,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.77,0.39,9,7.58,1.17,9,GRAPH,NA,10,1,EARLY,1,10,30,1,16,NA,A,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,neumani,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.76,0.36,9,5.66,1.77,9,GRAPH,NA,10,1,EARLY,1,10,30,1,26,NA,B,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,albidus,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.77,0.39,9,6.81,1.53,9,GRAPH,NA,10,1,EARLY,1,10,30,1,16,NA,A,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,albidus,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.76,0.36,9,3.54,1.26,9,GRAPH,NA,10,1,EARLY,1,10,30,1,26,NA,B,NO,NO
133,Comparison of the predation rate of freshwater cyclopoid copepod species on larvae of the mosquito Culex pipiens,10.1046/j.1365-2915.2003.00444.x,Medical and Veterinary Entomology,2003,LAB,Diptera,Culicidae,Culex,pipiens,SURVIVAL,NA,LARVA,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Mesocyclops,grandis,NO,0,CONSUMPTIVE,surviving larvae per copedpod per day,9.77,0.39,9,8.25,0.75,9,GRAPH,NA,10,1,EARLY,1,10,30,1,16,NA,A,NO,NO
